ST,State,Population.Black,Population.White,Deaths.homicide.Black,Deaths.homicide.White,crude.homicide.Black,crude.homicide.White,adjusted.homicide.Black,adjusted.homicide.White,Deaths.suicide.Black,Deaths.suicide.White,crude.suicide.Black,crude.suicide.White,adjusted.suicide.Black,adjusted.suicide.White,type,crude.RD.suicide,adj.RD.suicide,crude.RD.homicide,adj.RD.homicide,ST.order.RD.homicide,ST.order.RD.suicide,gun.house.prev,gun.house.prev.category,average.pop.white,average.pop.black,type.fac
AK,Alaska,153664,2274605,23,78,14.97,3.43,12.3,3.24,23,535,14.97,23.52,12.77,23.47,Firearm,-8.549999999999999,-10.7,11.540000000000001,9.06,AK,AK,59.8,45.0%-65.5%,252733.88888888888,17073.777777777777,Firearm-related
AK,Alaska,153664,2274605,NA,10,NA,NA,NA,NA,12,196,NA,8.62,NA,8.21,Non-Firearm,NA,NA,NA,NA,AK,AK,59.8,45.0%-65.5%,252733.88888888888,17073.777777777777,Firearm-unrelated
AL,Alabama,5376635,14267619,183,124,3.4,0.87,3.51,0.85,148,1222,2.75,8.56,2.84,8.64,Non-Firearm,-5.8100000000000005,-5.800000000000001,2.53,2.6599999999999997,AL,AL,52.2,45.0%-65.5%,1585291,597403.8888888889,Firearm-unrelated
AL,Alabama,5376635,14267619,1812,620,33.7,4.35,33,4.47,370,3195,6.88,22.39,7.2,20.97,Firearm,-15.510000000000002,-13.77,29.35,28.53,AL,AL,52.2,45.0%-65.5%,1585291,597403.8888888889,Firearm-related
AR,Arkansas,1991165,9747025,667,416,33.5,4.27,33.39,4.39,118,2154,5.93,22.1,6.25,20.98,Firearm,-16.17,-14.73,29.23,29,AR,AR,58.8,45.0%-65.5%,1083002.7777777778,221240.55555555556,Firearm-related
AR,Arkansas,1991165,9747025,90,110,4.52,1.13,4.81,1.13,75,1027,3.77,10.54,3.93,10.89,Non-Firearm,-6.77,-6.960000000000001,3.3899999999999997,3.6799999999999997,AR,AR,58.8,45.0%-65.5%,1083002.7777777778,221240.55555555556,Firearm-unrelated
AZ,Arizona,1360042,16941107,300,586,22.06,3.46,20.4,3.63,101,4146,7.43,24.47,7.51,21.42,Firearm,-17.04,-13.910000000000002,18.599999999999998,16.77,AZ,AZ,32.3,20.0%-34.9%,1882345.2222222222,151115.77777777778,Firearm-related
AZ,Arizona,1360042,16941107,40,145,2.94,0.86,2.64,0.91,80,1972,5.88,11.64,5.58,11.42,Non-Firearm,-5.760000000000001,-5.84,2.08,1.73,AZ,AZ,32.3,20.0%-34.9%,1882345.2222222222,151115.77777777778,Firearm-unrelated
CA,California,10654017,69327194,3712,1399,34.84,2.02,32.27,2.05,492,9563,4.62,13.79,4.8,11.63,Firearm,-9.169999999999998,-6.830000000000001,32.82,30.220000000000002,CA,CA,20.1,20.0%-34.9%,7703021.555555556,1183779.6666666667,Firearm-related
CA,California,10654017,69327194,438,693,4.11,1,3.98,0.96,639,9553,6,13.78,5.78,12.53,Non-Firearm,-7.779999999999999,-6.749999999999999,3.1100000000000003,3.02,CA,CA,20.1,20.0%-34.9%,7703021.555555556,1183779.6666666667,Firearm-unrelated
CO,Colorado,1087995,16529681,200,294,18.38,1.78,16.56,1.75,72,3404,6.62,20.59,6.49,19.48,Firearm,-13.969999999999999,-12.99,16.599999999999998,14.809999999999999,CO,CO,34.6,20.0%-34.9%,1836631.2222222222,120888.33333333333,Firearm-related
CO,Colorado,1087995,16529681,32,116,2.94,0.7,2.8,0.7,85,2360,7.81,14.28,7.65,13.61,Non-Firearm,-6.47,-5.959999999999999,2.24,2.0999999999999996,CO,CO,34.6,20.0%-34.9%,1836631.2222222222,120888.33333333333,Firearm-unrelated
CT,Connecticut,1574975,11120802,373,96,23.68,0.86,21.44,0.86,35,804,2.22,7.23,2.53,6.42,Firearm,-5.01,-3.89,22.82,20.580000000000002,CT,CT,18.1,10.2%-19.9%,1235644.6666666667,174997.22222222222,Firearm-related
CT,Connecticut,1574975,11120802,49,42,3.11,0.38,3.04,0.42,70,1300,4.44,11.69,4.33,11.03,Non-Firearm,-7.249999999999999,-6.699999999999999,2.73,2.62,CT,CT,18.1,10.2%-19.9%,1235644.6666666667,174997.22222222222,Firearm-unrelated
DC,District of Columbia,1283193,1014256,680,10,52.99,NA,51.41,NA,52,23,4.05,2.27,4.18,2.35,Firearm,1.7799999999999998,1.8299999999999996,NA,NA,DC,DC,NA,NA,112695.11111111111,142577,Firearm-related
DC,District of Columbia,1283193,1014256,106,NA,8.26,NA,8.31,NA,83,92,6.47,9.07,6.45,8.83,Non-Firearm,-2.6000000000000005,-2.38,NA,NA,DC,DC,NA,NA,112695.11111111111,142577,Firearm-unrelated
DE,Delaware,854654,2619781,17,20,NA,0.76,NA,0.78,52,337,6.08,12.86,6.24,12.46,Non-Firearm,-6.779999999999999,-6.220000000000001,NA,NA,DE,DE,26.3,20.0%-34.9%,291086.77777777775,94961.55555555556,Firearm-unrelated
DE,Delaware,854654,2619781,273,43,31.94,1.64,30.32,1.74,32,356,3.74,13.59,3.86,12.41,Firearm,-9.85,-8.55,30.3,28.580000000000002,DE,DE,26.3,20.0%-34.9%,291086.77777777775,94961.55555555556,Firearm-related
FL,Florida,13301559,49418512,3815,1377,28.68,2.79,26.53,3.11,621,9752,4.67,19.73,4.86,16.48,Firearm,-15.06,-11.620000000000001,25.89,23.42,FL,FL,25.2,20.0%-34.9%,5490945.777777778,1477951,Firearm-related
FL,Florida,13301559,49418512,332,390,2.5,0.79,2.53,0.8,514,6666,3.86,13.49,3.97,13.02,Non-Firearm,-9.63,-9.049999999999999,1.71,1.7299999999999998,FL,FL,25.2,20.0%-34.9%,5490945.777777778,1477951,Firearm-unrelated
GA,Georgia,12978074,24513388,2810,674,21.65,2.75,20.46,2.76,795,4651,6.13,18.97,6.42,17.97,Firearm,-12.84,-11.549999999999999,18.9,17.700000000000003,GA,GA,40.3,35.0%-44.9%,2723709.777777778,1442008.2222222222,Firearm-related
GA,Georgia,12978074,24513388,341,166,2.63,0.68,2.65,0.65,408,2091,3.14,8.53,3.11,8.33,Non-Firearm,-5.389999999999999,-5.220000000000001,1.9499999999999997,2,GA,GA,40.3,35.0%-44.9%,2723709.777777778,1442008.2222222222,Firearm-unrelated
HI,Hawaii,190790,1784397,NA,17,NA,NA,NA,NA,19,375,NA,21.02,NA,19.37,Non-Firearm,NA,NA,NA,NA,HI,HI,10.2,10.2%-19.9%,198266.33333333334,21198.88888888889,Firearm-unrelated
HI,Hawaii,190790,1784397,NA,13,NA,NA,NA,NA,NA,159,NA,8.91,NA,7.74,Firearm,NA,NA,NA,NA,HI,HI,10.2,10.2%-19.9%,198266.33333333334,21198.88888888889,Firearm-related
IA,Iowa,524732,12095757,83,113,15.82,0.93,13.73,0.99,12,1505,NA,12.44,NA,11.91,Firearm,NA,NA,14.89,12.74,IA,IA,45.7,45.0%-65.5%,1343973,58303.555555555555,Firearm-related
IA,Iowa,524732,12095757,24,55,4.57,0.45,4.34,0.48,30,1305,5.72,10.79,5.9,10.94,Non-Firearm,-5.069999999999999,-5.039999999999999,4.12,3.86,IA,IA,45.7,45.0%-65.5%,1343973,58303.555555555555,Firearm-unrelated
ID,Idaho,72719,6082047,NA,75,NA,1.23,NA,1.28,NA,1367,NA,22.48,NA,22.29,Firearm,NA,NA,NA,NA,ID,ID,55.7,45.0%-65.5%,675783,8079.888888888889,Firearm-related
ID,Idaho,72719,6082047,NA,25,NA,0.41,NA,0.42,NA,653,NA,10.74,NA,11.09,Non-Firearm,NA,NA,NA,NA,ID,ID,55.7,45.0%-65.5%,675783,8079.888888888889,Firearm-unrelated
IL,Illinois,7969427,36094892,307,258,3.85,0.71,3.8,0.74,337,4325,4.23,11.98,4.34,11.53,Non-Firearm,-7.75,-7.1899999999999995,3.14,3.0599999999999996,IL,IL,20.7,20.0%-34.9%,4010543.5555555555,885491.8888888889,Firearm-unrelated
IL,Illinois,7969427,36094892,4114,378,51.62,1.05,47.94,1.05,317,3355,3.98,9.29,4.24,8.55,Firearm,-5.309999999999999,-4.3100000000000005,50.57,46.89,IL,IL,20.7,20.0%-34.9%,4010543.5555555555,885491.8888888889,Firearm-related
IN,Indiana,2759565,23638929,1335,485,48.38,2.05,46.06,2.09,159,3595,5.76,15.21,6.29,14.69,Firearm,-9.450000000000001,-8.399999999999999,46.330000000000005,43.97,IN,IN,38.5,35.0%-44.9%,2626547.6666666665,306618.3333333333,Firearm-related
IN,Indiana,2759565,23638929,88,152,3.19,0.64,3.27,0.65,120,2422,4.35,10.25,4.55,10.3,Non-Firearm,-5.9,-5.750000000000001,2.55,2.62,IN,IN,38.5,35.0%-44.9%,2626547.6666666665,306618.3333333333,Firearm-unrelated
KS,Kansas,867467,10046018,256,200,29.51,1.99,27.01,2.08,60,1670,6.92,16.62,6.92,16.05,Firearm,-9.700000000000001,-9.13,27.520000000000003,24.93,KS,KS,42.8,35.0%-44.9%,1116224.2222222222,96385.22222222222,Firearm-related
KS,Kansas,867467,10046018,26,49,3,0.49,3.04,0.48,57,1065,6.57,10.6,6.33,10.83,Non-Firearm,-4.029999999999999,-4.5,2.51,2.56,KS,KS,42.8,35.0%-44.9%,1116224.2222222222,96385.22222222222,Firearm-unrelated
KY,Kentucky,1633656,16742144,461,575,28.22,3.43,26.2,3.46,103,3280,6.3,19.59,6.52,18.9,Firearm,-13.29,-12.379999999999999,24.79,22.74,KY,KY,47.7,45.0%-65.5%,1860238.2222222222,181517.33333333334,Firearm-related
KY,Kentucky,1633656,16742144,38,164,2.33,0.98,2.54,0.96,76,1414,4.65,8.45,4.44,8.49,Non-Firearm,-3.799999999999999,-4.05,1.35,1.58,KY,KY,47.7,45.0%-65.5%,1860238.2222222222,181517.33333333334,Firearm-unrelated
