name,fiscal_year,computer_sessions,wifi_use,gate_count
Cleveland Park Neighborhood Library,2019,20370,48143,238566
Northwest One Neighborhood Library,2019,35489,7661,94467
Martin Luther King Jr. Memorial Library - Central Library,2019,NA,NA,NA
Georgetown Neighborhood Library,2019,27578,24370,138461
Tenley-Friendship Neighborhood Library,2019,39495,21634,213195
Deanwood Neighborhood Library,2019,23036,8841,94507
Shepherd Park / Juanita E. Thornton Neighborhood Library,2019,33323,11045,111429
Southeast Neighborhood Library,2019,33843,17693,178996
West End Neighborhood Library,2019,54789,37684,231512
Library Express,2019,23231,10462,107390
Benning / Dorothy I. Height Neighborhood Library,2019,54995,25623,193479
Shaw / Watha T. Daniel Neighborhood Library,2019,67816,54681,255200
Lamond-Riggs / Lillian J. Huff Neighborhood Library,2019,30388,11036,107374
Southwest Neighborhood Library,2019,22973,7271,72314
Takoma Park Neighborhood Library,2019,13576,6356,55838
Northeast Neighborhood Library,2019,34085,16427,161463
Parklands-Turner Neighborhood Library,2019,51370,27377,144273
Capitol View Neighborhood Library,2019,30964,9365,74916
Francis A. Gregory Neighborhood Library,2019,38213,12137,111707
Rosedale Neighborhood Library,2019,27035,8036,95566
Anacostia Neighborhood Library,2019,49714,25707,176244
Chevy Chase Neighborhood Library,2019,17466,12650,148761
Mt. Pleasant Neighborhood Library,2019,53365,32125,248992
Palisades Neighborhood Library,2019,6101,11244,87832
Bellevue / William O. Lockridge Neighborhood Library,2019,47208,13772,112471
Petworth Neighborhood Library,2019,51623,41092,181744
Woodridge Neighborhood Library,2019,56331,20818,183308
Anacostia Neighborhood Library,2016,52626,17272,171667
Bellevue / William O. Lockridge Neighborhood Library,2016,55191,10153,102498
Benning / Dorothy I. Height Neighborhood Library,2016,48972,21398,197874
Capitol View Neighborhood Library,2016,29588,8097,100497
Chevy Chase Neighborhood Library,2016,8387,6853,105234
Cleveland Park Neighborhood Library,2016,14625,6957,249367
Deanwood Neighborhood Library,2016,29190,5807,84414
Francis A. Gregory Neighborhood Library,2016,42327,9239,111538
Georgetown Neighborhood Library,2016,29082,18677,131823
Lamond-Riggs / Lillian J. Huff Neighborhood Library,2016,21356,8314,111443
Martin Luther King Jr. Memorial Library - Central Library,2016,198422,106822,606766
Mt. Pleasant Neighborhood Library,2016,48860,22194,240271
Northeast Neighborhood Library,2016,32971,11621,123406
Northwest One Neighborhood Library,2016,30460,6836,87049
Palisades Neighborhood Library,2016,6241,5139,92153
Parklands-Turner Neighborhood Library,2016,33972,17689,141745
Petworth Neighborhood Library,2016,50902,23587,174269
Rosedale Neighborhood Library,2016,19515,5738,89518
Shaw / Watha T. Daniel Neighborhood Library,2016,60343,25939,213627
Shepherd Park / Juanita E. Thornton Neighborhood Library,2016,11891,4220,49835
Southeast Neighborhood Library,2016,18281,12219,157353
Southwest Neighborhood Library,2016,21868,7011,102694
Takoma Park Neighborhood Library,2016,23131,5470,83638
Tenley-Friendship Neighborhood Library,2016,40856,16852,234713
West End Neighborhood Library,2016,18841,3313,87613
Woodridge Neighborhood Library,2016,33597,6051,79758
Anacostia Neighborhood Library,2017,51414,18998,170376
Bellevue / William O. Lockridge Neighborhood Library,2017,50537,11312,107224
Benning / Dorothy I. Height Neighborhood Library,2017,51273,24460,214167
Capitol View Neighborhood Library,2017,13170,3273,45947
Chevy Chase Neighborhood Library,2017,12643,12903,150916
Cleveland Park Neighborhood Library,2017,6624,5676,67730
Deanwood Neighborhood Library,2017,28469,6610,97190
Francis A. Gregory Neighborhood Library,2017,38702,9985,107119
Georgetown Neighborhood Library,2017,27370,23856,149406
Lamond-Riggs / Lillian J. Huff Neighborhood Library,2017,28017,8511,118089
Library Express,2017,8145,4340,36686
Martin Luther King Jr. Memorial Library - Central Library,2017,90262,50813,238682
Mt. Pleasant Neighborhood Library,2017,53934,26199,256268
Northeast Neighborhood Library,2017,32001,16921,128757
Northwest One Neighborhood Library,2017,35728,7653,105631
Palisades Neighborhood Library,2017,2290,2548,37397
Parklands-Turner Neighborhood Library,2017,39448,18656,138234
Petworth Neighborhood Library,2017,42680,26801,171159
Rosedale Neighborhood Library,2017,24006,6377,88740
Shaw / Watha T. Daniel Neighborhood Library,2017,66664,33609,241929
Shepherd Park / Juanita E. Thornton Neighborhood Library,2017,24170,8804,90869
Southeast Neighborhood Library,2017,28665,13779,160057
Southwest Neighborhood Library,2017,26233,9047,99206
Takoma Park Neighborhood Library,2017,17950,6190,74734
Tenley-Friendship Neighborhood Library,2017,41307,21058,249984
West End Neighborhood Library,2017,16506,4028,90065
Woodridge Neighborhood Library,2017,47744,18761,156639
Anacostia Neighborhood Library,2018,50627,18375,166445
Bellevue / William O. Lockridge Neighborhood Library,2018,48772,10781,106969
Benning / Dorothy I. Height Neighborhood Library,2018,57939,24037,204706
Capitol View Neighborhood Library,2018,22081,6649,53041
Chevy Chase Neighborhood Library,2018,16316,13908,150801
Cleveland Park Neighborhood Library,2018,10566,13927,101643
Deanwood Neighborhood Library,2018,22583,6808,91280
Francis A. Gregory Neighborhood Library,2018,36058,9798,111041
Georgetown Neighborhood Library,2018,25890,22093,141980
