pubmed,journal,year,se,z_score
12145117,British journal of sports medicine,2002,0.22374235171450862,2.1561682245114695
12547750,British journal of sports medicine,2003,0.8024982061555419,2.893947553373216
15155438,British journal of sports medicine,2004,0.12278142461726248,-2.9049585069612043
15039251,British journal of sports medicine,2004,0.5648403407270389,-1.4941745648127858
15039251,British journal of sports medicine,2004,0.4946643326492126,-1.1363643607435177
15039251,British journal of sports medicine,2004,1.1722244515649465,-1.6772494838748901
16244195,British journal of sports medicine,2005,0.5374593152724364,1.7048559878615004
16244195,British journal of sports medicine,2005,0.5211923207931023,1.3299259273528397
16118301,British journal of sports medicine,2005,0.12114633023977738,-3.555889107328571
15665208,British journal of sports medicine,2005,0.5304697810407745,-2.269635043043843
16855067,British journal of sports medicine,2006,0.2367313192952414,4.195692297779751
16556787,British journal of sports medicine,2006,0.12257660562527514,5.489991094219577
16556787,British journal of sports medicine,2006,0.28953569715280225,-6.329380044565513
16505087,British journal of sports medicine,2006,0.49640565026921263,3.159947750520461
16432004,British journal of sports medicine,2006,0.43948127493395495,3.5692440324097454
16432004,British journal of sports medicine,2006,0.43214165828116413,4.782836183148569
16431995,British journal of sports medicine,2006,0.2096887888782943,-2.4361131870644717
16431995,British journal of sports medicine,2006,0.3171412034385759,2.121908052142339
16431995,British journal of sports medicine,2006,0.18869061127419343,-2.619612700795693
17550919,British journal of sports medicine,2007,0.12385403463818898,0
17550919,British journal of sports medicine,2007,0.23374763568218243,0
17550919,British journal of sports medicine,2007,0.22979248605566066,3.0164048984267056
17550919,British journal of sports medicine,2007,0.20113708172557915,2.0158645269665376
19042922,British journal of sports medicine,2009,0.3589065429394455,2.5530064856709815
19042922,British journal of sports medicine,2009,0.3593793920846809,2.3176318433385426
19042922,British journal of sports medicine,2009,0.8117887348205636,1.9576955640655236
18653619,British journal of sports medicine,2010,0.5794215687474339,2.392548769140086
18653619,British journal of sports medicine,2010,1.3160855355139105,2.260893753440254
18487252,British journal of sports medicine,2010,0.17682326034692483,1.9028731625073474
18487252,British journal of sports medicine,2010,0.38837411618481393,2.4602861138478684
18487252,British journal of sports medicine,2010,0.2872477711367919,2.5829176734536095
18443036,British journal of sports medicine,2009,0.37209566905599917,-2.3313911981441717
18424486,British journal of sports medicine,2008,0.3049079398870361,8.283577807924585
18424486,British journal of sports medicine,2008,0.30346532318210107,0.8645609380220803
18403415,British journal of sports medicine,2009,0.0608191386339281,-8.675439243857209
18403415,British journal of sports medicine,2009,0.052707716674234496,-7.598082251832656
18403415,British journal of sports medicine,2009,0.1065651022193823,-3.7580554821096532
18390922,British journal of sports medicine,2008,0.6374234622245755,-2.524911629103271
18390922,British journal of sports medicine,2008,0.6771159331115782,2.0583866186012796
18390922,British journal of sports medicine,2008,0.6360217991333407,0.5064032390210403
19846420,British journal of sports medicine,2009,0.29223705912139814,2.086544305688457
19846420,British journal of sports medicine,2009,0.3712467430119495,-3.3343709522100062
19846420,British journal of sports medicine,2009,0.36063605492551154,-4.605006027932151
19846420,British journal of sports medicine,2009,0.18386794581452004,3.1664878686358073
19846420,British journal of sports medicine,2009,0.4839591798178269,-2.420003649778489
19846420,British journal of sports medicine,2009,0.5480700033588742,-2.8475335973509974
19846420,British journal of sports medicine,2009,0.46952796770344046,-2.952527765067002
19846420,British journal of sports medicine,2009,0.6243194108566641,2.848440106092101
19846420,British journal of sports medicine,2009,0.48901087045460745,-4.020591310260735
19734508,British journal of sports medicine,2009,0.7554501607269853,4.587643345610751
19734508,British journal of sports medicine,2009,0.5736014978887167,3.094399783551522
19734508,British journal of sports medicine,2009,1.170500782569314,2.122943176794374
19734508,British journal of sports medicine,2009,1.1578380322908006,2.215292023519684
19656766,British journal of sports medicine,2011,0.0812381967139119,-2.0005235969244977
19656766,British journal of sports medicine,2011,0.2311837744950647,-1.9985635263794095
19622529,British journal of sports medicine,2011,0.2658226566425117,2.061981530967926
19622529,British journal of sports medicine,2011,0.24061178183522433,1.4279837079024411
19581403,British journal of sports medicine,2009,0.35316291478443657,2.7488132998074515
19525241,British journal of sports medicine,2010,0.07565587241556809,-0.40260202562201675
19525241,British journal of sports medicine,2010,0.08397494983636063,-4.418742519214508
19525241,British journal of sports medicine,2010,0.12418641519441756,-2.3165341555387196
19443461,British journal of sports medicine,2010,0.4348847174077616,2.0131053180538254
19136506,British journal of sports medicine,2009,0.2049446455563637,3.3576609765447656
21119022,British journal of sports medicine,2011,0.627619730970055,2.160281276593377
21119022,British journal of sports medicine,2011,0.6410857380241043,2.082406435755314
21119022,British journal of sports medicine,2011,0.8430451825190289,-2.25031827975965
21119022,British journal of sports medicine,2011,0.8633648630984118,1.866459922070157
21119022,British journal of sports medicine,2011,0.9458999104807732,1.69725134049391
21119022,British journal of sports medicine,2011,1.3691162598712039,1.7312216726509662
20820060,British journal of sports medicine,2010,0.6038580648294941,-2.665258619819117
20820060,British journal of sports medicine,2010,0.9974543374381308,2.9551146228875727
20820060,British journal of sports medicine,2010,0.8995817664837147,-2.453667910386309
